[2023-07-10 09:43:41] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -30, Y= -54, Z= -245
[2023-07-10 09:43:44] [world] The Player <wqe123420> has placed TNT at X= -29, Y= -53, Z= -239
[2023-07-10 09:43:52] [world] The Player <wqe123420> has placed TNT at X= -27, Y= -53, Z= -238
[2023-07-10 09:43:53] [world] The Player <wqe123420> has placed TNT at X= -31, Y= -52, Z= -238
[2023-07-10 09:44:02] [world] The Player <wqe123420> has placed TNT at X= -32, Y= -53, Z= -237
[2023-07-10 09:44:04] [world] The Player <wqe123420> has placed TNT at X= -32, Y= -51, Z= -237
[2023-07-10 09:44:05] [world] The Player <wqe123420> has placed TNT at X= -26, Y= -55, Z= -237
[2023-07-10 09:44:06] [world] The Player <wqe123420> has placed TNT at X= -26, Y= -52, Z= -237
[2023-07-10 09:44:16] [world] The Player <wqe123420> has placed TNT at X= -34, Y= -54, Z= -238
[2023-07-10 09:44:17] [world] The Player <wqe123420> has placed FIRE at X= -33, Y= -55, Z= -238
[2023-07-10 09:44:27] [world] The Player <wqe123420> has placed TNT at X= -30, Y= -54, Z= -235
[2023-07-10 09:44:33] [world] The Player <wqe123420> has placed TNT at X= -31, Y= -54, Z= -233
[2023-07-10 09:44:35] [world] The Player <wqe123420> has placed TNT at X= -29, Y= -55, Z= -234
[2023-07-10 09:45:18] [world] The Player <wqe123420> has placed IRON_BLOCK at X= -30, Y= -54, Z= -244
[2023-07-10 09:45:18] [world] The Player <wqe123420> has placed IRON_BLOCK at X= -30, Y= -54, Z= -243
[2023-07-10 09:45:24] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -30, Y= -53, Z= -243
[2023-07-10 09:45:35] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -30, Y= -54, Z= -242
[2023-07-10 09:45:42] [world] The Player <wqe123420> has placed COBBLESTONE_SLAB at X= -30, Y= -55, Z= -242
[2023-07-10 09:46:02] [world] The Player <wqe123420> has placed COBBLESTONE_WALL at X= -30, Y= -55, Z= -241
[2023-07-10 09:46:04] [world] The Player <wqe123420> has placed OBSERVER at X= -30, Y= -55, Z= -240
[2023-07-10 09:46:15] [world] The Player <wqe123420> has placed PISTON at X= -30, Y= -55, Z= -239
[2023-07-10 09:46:24] [world] The Player <wqe123420> has placed TNT at X= -30, Y= -54, Z= -241
[2023-07-10 09:46:39] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -30, Y= -53, Z= -242
[2023-07-10 09:46:40] [world] The Player <wqe123420> has placed COBBLESTONE_SLAB at X= -30, Y= -53, Z= -241
[2023-07-10 09:46:48] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -30, Y= -53, Z= -240
[2023-07-10 09:48:54] [world] The Player <wqe123420> has placed HORN_CORAL at X= -30, Y= -54, Z= -240
[2023-07-10 09:49:33] [world] The Player <wqe123420> has placed TUFF at X= -32, Y= 89, Z= -266
[2023-07-10 09:49:33] [world] The Player <wqe123420> has placed TUFF at X= -31, Y= 89, Z= -265
[2023-07-10 09:52:04] [world_nether] The Player <Xw114> has placed SANDSTONE at X= 6, Y= 75, Z= -36
[2023-07-10 09:52:04] [world_nether] The Player <Xw114> has placed SANDSTONE at X= 6, Y= 76, Z= -36
[2023-07-10 09:52:06] [world_nether] The Player <Xw114> has placed SANDSTONE at X= 7, Y= 76, Z= -34
[2023-07-10 09:52:06] [world_nether] The Player <Xw114> has placed SANDSTONE at X= 7, Y= 77, Z= -34
[2023-07-10 09:52:07] [world_nether] The Player <Xw114> has placed SANDSTONE at X= 7, Y= 77, Z= -35
[2023-07-10 09:52:08] [world_nether] The Player <Xw114> has placed SANDSTONE at X= 9, Y= 76, Z= -34
[2023-07-10 09:52:09] [world_nether] The Player <Xw114> has placed SANDSTONE at X= 9, Y= 77, Z= -34
[2023-07-10 09:52:09] [world_nether] The Player <Xw114> has placed SANDSTONE at X= 8, Y= 77, Z= -34
[2023-07-10 09:52:09] [world_nether] The Player <Xw114> has placed SANDSTONE at X= 9, Y= 76, Z= -35
[2023-07-10 09:52:10] [world_nether] The Player <Xw114> has placed SANDSTONE at X= 8, Y= 76, Z= -34
[2023-07-10 09:52:11] [world_nether] The Player <Xw114> has placed SANDSTONE at X= 9, Y= 77, Z= -35
[2023-07-10 09:52:15] [world_nether] The Player <Xw114> has placed SANDSTONE at X= 6, Y= 77, Z= -36
[2023-07-10 09:52:16] [world_nether] The Player <Xw114> has placed SANDSTONE at X= 7, Y= 76, Z= -35
[2023-07-10 09:56:48] [world] The Player <wqe123420> has placed LIGHT_GRAY_SHULKER_BOX at X= -20, Y= 64, Z= -286
[2023-07-10 09:57:31] [world] The Player <wqe123420> has placed YELLOW_SHULKER_BOX at X= -21, Y= 63, Z= -287
[2023-07-10 09:59:42] [world] The Player <wqe123420> has placed YELLOW_SHULKER_BOX at X= -25, Y= 63, Z= -286
