[2023-07-22 18:29:25] [world_the_end] The Player <Enderlava> has placed OBSERVER at X= 0, Y= 60, Z= -7
[2023-07-22 18:29:25] [world_the_end] The Player <Enderlava> has placed OBSERVER at X= 0, Y= 60, Z= -6
[2023-07-22 18:29:36] [world_the_end] The Player <Enderlava> has placed OBSERVER at X= 0, Y= 57, Z= -3
[2023-07-22 18:29:37] [world_the_end] The Player <Enderlava> has placed OBSERVER at X= 0, Y= 58, Z= -3
[2023-07-22 18:29:47] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -1, Y= 58, Z= -3
[2023-07-22 18:29:48] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 1, Y= 58, Z= -3
[2023-07-22 18:29:49] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 0, Y= 59, Z= -3
[2023-07-22 18:29:52] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 0, Y= 61, Z= -7
[2023-07-22 18:30:01] [world_the_end] The Player <Enderlava> has placed REDSTONE_WIRE at X= -1, Y= 59, Z= -3
[2023-07-22 18:30:02] [world_the_end] The Player <Enderlava> has placed REDSTONE_WIRE at X= 1, Y= 59, Z= -3
[2023-07-22 18:30:55] [world_the_end] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 1, Y= 60, Z= -3
[2023-07-22 18:30:55] [world_the_end] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 0, Y= 60, Z= -3
[2023-07-22 18:30:56] [world_the_end] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= -1, Y= 60, Z= -3
[2023-07-22 18:31:03] [world_the_end] The Player <Enderlava> has placed STICKY_PISTON at X= 0, Y= 61, Z= -6
[2023-07-22 18:31:19] [world_the_end] The Player <Enderlava> has placed SLIME_BLOCK at X= 0, Y= 61, Z= -5
[2023-07-22 18:31:20] [world_the_end] The Player <Enderlava> has placed SLIME_BLOCK at X= -1, Y= 61, Z= -5
[2023-07-22 18:31:22] [world_the_end] The Player <Enderlava> has placed SLIME_BLOCK at X= 1, Y= 61, Z= -6
[2023-07-22 18:31:23] [world_the_end] The Player <Enderlava> has placed SLIME_BLOCK at X= 1, Y= 61, Z= -5
[2023-07-22 18:31:31] [world_the_end] The Player <Enderlava> has placed SAND at X= -1, Y= 61, Z= -3
[2023-07-22 18:31:32] [world_the_end] The Player <Enderlava> has placed SAND at X= 0, Y= 61, Z= -3
[2023-07-22 18:31:32] [world_the_end] The Player <Enderlava> has placed SAND at X= 1, Y= 61, Z= -3
[2023-07-22 18:31:38] [world_the_end] The Player <Enderlava> has placed SAND at X= 0, Y= 56, Z= 0
[2023-07-22 18:32:13] [world_the_end] The Player <Enderlava> has placed SAND at X= 1, Y= 61, Z= -3
[2023-07-22 18:32:14] [world_the_end] The Player <Enderlava> has placed SAND at X= 0, Y= 61, Z= -3
[2023-07-22 18:32:14] [world_the_end] The Player <Enderlava> has placed SAND at X= -1, Y= 61, Z= -3
[2023-07-22 18:33:21] [world_the_end] The Player <Enderlava> has placed PISTON at X= 0, Y= 59, Z= -4
[2023-07-22 18:33:23] [world_the_end] The Player <Enderlava> has placed PISTON at X= -1, Y= 59, Z= -4
[2023-07-22 18:33:25] [world_the_end] The Player <Enderlava> has placed PISTON at X= 1, Y= 59, Z= -4
[2023-07-22 18:33:36] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 0, Y= 56, Z= 0
[2023-07-22 18:33:52] [world_the_end] The Player <Enderlava> has placed SAND at X= 1, Y= 61, Z= -3
[2023-07-22 18:33:53] [world_the_end] The Player <Enderlava> has placed SAND at X= 1, Y= 61, Z= -3
[2023-07-22 18:33:54] [world_the_end] The Player <Enderlava> has placed SAND at X= 1, Y= 61, Z= -3
[2023-07-22 18:33:55] [world_the_end] The Player <Enderlava> has placed SAND at X= 1, Y= 61, Z= -3
[2023-07-22 18:33:56] [world_the_end] The Player <Enderlava> has placed SAND at X= 1, Y= 61, Z= -3
[2023-07-22 18:33:56] [world_the_end] The Player <Enderlava> has placed SAND at X= 2, Y= 61, Z= -3
[2023-07-22 18:34:03] [world_the_end] The Player <Enderlava> has placed SAND at X= 0, Y= 61, Z= -3
[2023-07-22 18:34:05] [world_the_end] The Player <Enderlava> has placed SAND at X= 0, Y= 61, Z= -3
[2023-07-22 18:34:06] [world_the_end] The Player <Enderlava> has placed SAND at X= 0, Y= 61, Z= -3
[2023-07-22 18:34:07] [world_the_end] The Player <Enderlava> has placed SAND at X= 0, Y= 61, Z= -3
[2023-07-22 18:34:07] [world_the_end] The Player <Enderlava> has placed SAND at X= 0, Y= 61, Z= -3
[2023-07-22 18:34:07] [world_the_end] The Player <Enderlava> has placed SAND at X= 1, Y= 61, Z= -3
[2023-07-22 18:34:07] [world_the_end] The Player <Enderlava> has placed SAND at X= 0, Y= 61, Z= -3
[2023-07-22 18:34:20] [world_the_end] The Player <Enderlava> has placed SAND at X= 0, Y= 61, Z= -3
[2023-07-22 18:34:22] [world_the_end] The Player <Enderlava> has placed SAND at X= -1, Y= 61, Z= -3
[2023-07-22 18:34:22] [world_the_end] The Player <Enderlava> has placed SAND at X= -2, Y= 61, Z= -3
[2023-07-22 18:34:24] [world_the_end] The Player <Enderlava> has placed SAND at X= -1, Y= 61, Z= -3
