[2023-07-19 22:42:46] [world] The Player <Enderlava> has placed NETHERRACK at X= -162, Y= 72, Z= -157
[2023-07-19 22:44:04] [world] The Player <Enderlava> has placed NETHERRACK at X= -17, Y= 72, Z= -186
[2023-07-19 22:44:05] [world] The Player <Enderlava> has placed NETHERRACK at X= -17, Y= 73, Z= -186
[2023-07-19 22:44:05] [world] The Player <Enderlava> has placed NETHERRACK at X= -17, Y= 74, Z= -186
[2023-07-19 22:44:05] [world] The Player <Enderlava> has placed NETHERRACK at X= -17, Y= 75, Z= -186
[2023-07-19 22:44:05] [world] The Player <Enderlava> has placed NETHERRACK at X= -17, Y= 76, Z= -186
[2023-07-19 22:48:17] [world] The Player <Enderlava> has placed DIRT at X= -46, Y= 70, Z= -276
[2023-07-19 22:48:18] [world] The Player <Enderlava> has placed DIRT at X= -45, Y= 70, Z= -275
[2023-07-19 22:48:19] [world] The Player <Enderlava> has placed DIRT at X= -45, Y= 69, Z= -276
[2023-07-19 22:48:19] [world] The Player <Enderlava> has placed DIRT at X= -45, Y= 69, Z= -277
[2023-07-19 22:48:20] [world] The Player <Enderlava> has placed DIRT at X= -45, Y= 70, Z= -276
[2023-07-19 22:48:21] [world] The Player <Enderlava> has placed DIRT at X= -45, Y= 70, Z= -277
[2023-07-19 22:48:21] [world] The Player <Enderlava> has placed DIRT at X= -45, Y= 69, Z= -278
[2023-07-19 22:48:22] [world] The Player <Enderlava> has placed DIRT at X= -45, Y= 69, Z= -279
[2023-07-19 22:48:22] [world] The Player <Enderlava> has placed DIRT at X= -45, Y= 70, Z= -279
[2023-07-19 22:48:23] [world] The Player <Enderlava> has placed DIRT at X= -45, Y= 69, Z= -280
[2023-07-19 22:48:24] [world] The Player <Enderlava> has placed DIRT at X= -46, Y= 69, Z= -281
[2023-07-19 22:48:24] [world] The Player <Enderlava> has placed DIRT at X= -46, Y= 69, Z= -282
[2023-07-19 22:48:25] [world] The Player <Enderlava> has placed DIRT at X= -45, Y= 69, Z= -282
[2023-07-19 22:48:25] [world] The Player <Enderlava> has placed DIRT at X= -45, Y= 70, Z= -282
[2023-07-19 22:48:25] [world] The Player <Enderlava> has placed DIRT at X= -45, Y= 69, Z= -281
[2023-07-19 22:48:26] [world] The Player <Enderlava> has placed DIRT at X= -44, Y= 69, Z= -282
[2023-07-19 22:48:26] [world] The Player <Enderlava> has placed DIRT at X= -44, Y= 69, Z= -281
[2023-07-19 22:48:26] [world] The Player <Enderlava> has placed DIRT at X= -44, Y= 70, Z= -282
[2023-07-19 22:48:27] [world] The Player <Enderlava> has placed DIRT at X= -44, Y= 70, Z= -281
[2023-07-19 22:48:27] [world] The Player <Enderlava> has placed DIRT at X= -45, Y= 70, Z= -281
[2023-07-19 22:48:28] [world] The Player <Enderlava> has placed DIRT at X= -45, Y= 70, Z= -280
[2023-07-19 22:48:28] [world] The Player <Enderlava> has placed DIRT at X= -46, Y= 70, Z= -282
[2023-07-19 22:48:28] [world] The Player <Enderlava> has placed DIRT at X= -46, Y= 70, Z= -281
[2023-07-19 22:48:29] [world] The Player <Enderlava> has placed DIRT at X= -45, Y= 70, Z= -278
[2023-07-19 22:48:30] [world] The Player <Enderlava> has placed DIRT at X= -41, Y= 70, Z= -280
