[2023-07-21 16:54:09] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -211, Y= 15, Z= 132
[2023-07-21 16:54:11] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -211, Y= 14, Z= 136
[2023-07-21 16:54:25] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -211, Y= 15, Z= 141
[2023-07-21 16:54:26] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -211, Y= 13, Z= 144
[2023-07-21 16:54:26] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -211, Y= 13, Z= 147
[2023-07-21 16:54:28] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -211, Y= 11, Z= 150
[2023-07-21 16:54:29] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -136, Y= 15, Z= 591
[2023-07-21 16:54:42] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -211, Y= 16, Z= 153
[2023-07-21 16:55:03] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -152, Y= 15, Z= 591
[2023-07-21 16:55:17] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -159, Y= 15, Z= 592
[2023-07-21 16:55:35] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -167, Y= 14, Z= 591
[2023-07-21 16:55:41] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -209, Y= 16, Z= 166
[2023-07-21 16:55:42] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -209, Y= 15, Z= 170
