[2023-07-20 16:28:40] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -36, Y= 11, Z= -646
[2023-07-20 16:28:40] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -23, Y= 15, Z= -647
[2023-07-20 16:28:41] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -33, Y= 7, Z= -647
[2023-07-20 16:28:41] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -21, Y= 13, Z= -647
[2023-07-20 16:28:41] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -18, Y= 15, Z= -647
[2023-07-20 16:28:41] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -15, Y= 15, Z= -647
[2023-07-20 16:28:42] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -15, Y= 12, Z= -646
[2023-07-20 16:28:42] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -11, Y= 14, Z= -649
[2023-07-20 16:28:42] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -9, Y= 14, Z= -647
[2023-07-20 16:28:42] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -9, Y= 16, Z= -644
[2023-07-20 16:28:43] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -5, Y= 14, Z= -649
[2023-07-20 16:28:43] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -2, Y= 14, Z= -647
[2023-07-20 16:28:43] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -6, Y= 15, Z= -649
[2023-07-20 16:28:44] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 3, Y= 15, Z= -647
[2023-07-20 16:28:44] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 1, Y= 13, Z= -647
[2023-07-20 16:28:44] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 3, Y= 13, Z= -643
[2023-07-20 16:28:44] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 8, Y= 15, Z= -647
[2023-07-20 16:28:44] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 7, Y= 15, Z= -648
[2023-07-20 16:28:45] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 11, Y= 13, Z= -646
[2023-07-20 16:28:45] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 14, Y= 14, Z= -649
[2023-07-20 16:28:46] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 12, Y= 14, Z= -643
[2023-07-20 16:28:46] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 15, Y= 14, Z= -647
[2023-07-20 16:28:46] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 19, Y= 15, Z= -647
[2023-07-20 16:28:47] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 21, Y= 14, Z= -647
[2023-07-20 16:28:47] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 24, Y= 15, Z= -647
[2023-07-20 16:28:47] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 19, Y= 11, Z= -650
[2023-07-20 16:28:48] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 28, Y= 14, Z= -648
[2023-07-20 16:28:48] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 28, Y= 10, Z= -646
[2023-07-20 16:28:48] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 30, Y= 13, Z= -647
[2023-07-20 16:28:49] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 34, Y= 13, Z= -647
[2023-07-20 16:28:49] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 25, Y= 8, Z= -649
[2023-07-20 16:28:49] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 38, Y= 15, Z= -647
[2023-07-20 16:28:50] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 33, Y= 11, Z= -646
[2023-07-20 16:28:50] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 44, Y= 15, Z= -647
[2023-07-20 16:28:50] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 41, Y= 13, Z= -647
[2023-07-20 16:28:51] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 47, Y= 16, Z= -647
[2023-07-20 16:28:51] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 48, Y= 14, Z= -643
[2023-07-20 16:28:51] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 47, Y= 11, Z= -651
[2023-07-20 16:31:51] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 16, Y= 15, Z= -667
