[2023-07-23 15:00:39] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 7, Y= 57, Z= 1
[2023-07-23 15:00:39] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 7, Y= 58, Z= 1
[2023-07-23 15:00:40] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 7, Y= 59, Z= 1
[2023-07-23 15:00:41] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 7, Y= 60, Z= 1
[2023-07-23 15:00:42] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 7, Y= 61, Z= 1
[2023-07-23 15:00:42] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 7, Y= 59, Z= 2
[2023-07-23 15:00:43] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 7, Y= 60, Z= 2
[2023-07-23 15:00:43] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 7, Y= 61, Z= 2
[2023-07-23 15:00:48] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 57, Z= 5
[2023-07-23 15:00:49] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 57, Z= 6
[2023-07-23 15:00:49] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 57, Z= 7
[2023-07-23 15:00:51] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 58, Z= 7
