[2023-07-19 12:04:54] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 15, Y= 15, Z= 12
[2023-07-19 12:04:54] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 14, Y= 16, Z= 12
[2023-07-19 12:04:54] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 16, Y= 15, Z= 12
[2023-07-19 12:04:54] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 15, Y= 16, Z= 12
[2023-07-19 12:04:54] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 17, Y= 15, Z= 12
[2023-07-19 12:04:54] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 16, Y= 16, Z= 12
[2023-07-19 12:04:55] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 18, Y= 15, Z= 12
[2023-07-19 12:04:55] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 17, Y= 16, Z= 12
[2023-07-19 12:04:55] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 19, Y= 15, Z= 12
[2023-07-19 12:04:55] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 18, Y= 16, Z= 12
[2023-07-19 12:04:55] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 20, Y= 15, Z= 12
[2023-07-19 12:04:55] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 19, Y= 16, Z= 12
[2023-07-19 12:05:01] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 20, Y= 16, Z= 12
[2023-07-19 12:05:01] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 20, Y= 16, Z= 11
[2023-07-19 12:05:27] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 28, Y= 14, Z= 11
[2023-07-19 12:05:27] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 29, Y= 15, Z= 11
[2023-07-19 12:05:28] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 30, Y= 15, Z= 11
[2023-07-19 12:05:28] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 30, Y= 16, Z= 11
[2023-07-19 12:05:28] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 31, Y= 16, Z= 11
[2023-07-19 12:05:28] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 32, Y= 16, Z= 11
[2023-07-19 12:05:42] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 35, Y= 16, Z= 14
[2023-07-19 12:05:42] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 35, Y= 16, Z= 15
[2023-07-19 12:05:47] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 31, Y= 15, Z= 15
[2023-07-19 12:05:47] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 30, Y= 15, Z= 15
[2023-07-19 12:05:47] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 30, Y= 15, Z= 16
[2023-07-19 12:05:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 32, Y= 15, Z= 15
[2023-07-19 12:05:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 32, Y= 15, Z= 16
[2023-07-19 12:05:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 33, Y= 15, Z= 16
[2023-07-19 12:05:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 33, Y= 15, Z= 17
[2023-07-19 12:05:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 34, Y= 15, Z= 17
[2023-07-19 12:05:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 33, Y= 15, Z= 18
[2023-07-19 12:05:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 32, Y= 15, Z= 17
[2023-07-19 12:05:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 31, Y= 15, Z= 16
[2023-07-19 12:05:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 32, Y= 15, Z= 18
[2023-07-19 12:06:00] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 34, Y= 13, Z= 17
[2023-07-19 12:06:04] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 36, Y= 15, Z= 16
[2023-07-19 12:06:04] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 36, Y= 16, Z= 16
