[2023-08-09 10:00:33] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -41, Y= 97, Z= -37
[2023-08-09 10:00:33] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -42, Y= 97, Z= -38
[2023-08-09 10:02:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 1, Y= 122, Z= -21
[2023-08-09 10:02:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 1, Y= 122, Z= -20
[2023-08-09 10:02:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 0, Y= 122, Z= -20
[2023-08-09 10:02:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 0, Y= 122, Z= -19
[2023-08-09 10:02:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 0, Y= 122, Z= -18
[2023-08-09 10:02:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 0, Y= 122, Z= -17
[2023-08-09 10:02:30] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -1, Y= 122, Z= -18
[2023-08-09 10:02:30] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -1, Y= 122, Z= -19
[2023-08-09 10:02:30] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -2, Y= 122, Z= -18
[2023-08-09 10:02:30] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -2, Y= 122, Z= -19
[2023-08-09 10:02:30] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -1, Y= 122, Z= -20
[2023-08-09 10:02:30] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 0, Y= 122, Z= -21
[2023-08-09 10:02:30] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 1, Y= 121, Z= -21
[2023-08-09 10:02:30] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 0, Y= 121, Z= -21
[2023-08-09 10:02:30] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 0, Y= 120, Z= -21
[2023-08-09 10:02:30] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -1, Y= 120, Z= -21
[2023-08-09 10:02:30] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -1, Y= 119, Z= -21
[2023-08-09 10:02:33] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 2, Y= 104, Z= -23
[2023-08-09 10:02:33] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 2, Y= 102, Z= -22
[2023-08-09 10:02:33] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 1, Y= 102, Z= -22
[2023-08-09 10:02:33] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 1, Y= 101, Z= -22
[2023-08-09 10:02:33] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 0, Y= 101, Z= -22
