[2023-07-22 13:06:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 96, Z= -43
[2023-07-22 13:06:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 95, Z= -45
[2023-07-22 13:06:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 95, Z= -46
[2023-07-22 13:06:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 96, Z= -46
[2023-07-22 13:06:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 96, Z= -47
[2023-07-22 13:06:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 96, Z= -48
[2023-07-22 13:06:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 6, Y= 96, Z= -46
[2023-07-22 13:06:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 6, Y= 97, Z= -46
[2023-07-22 13:06:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 6, Y= 97, Z= -45
[2023-07-22 13:06:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 6, Y= 97, Z= -47
[2023-07-22 13:06:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 7, Y= 97, Z= -47
[2023-07-22 13:06:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 7, Y= 97, Z= -46
[2023-07-22 13:06:30] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 6, Y= 96, Z= -45
[2023-07-22 13:06:30] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 7, Y= 96, Z= -46
[2023-07-22 13:06:30] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 7, Y= 96, Z= -47
[2023-07-22 13:06:30] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 8, Y= 96, Z= -47
[2023-07-22 13:06:30] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 8, Y= 96, Z= -48
[2023-07-22 13:06:30] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 6, Y= 96, Z= -47
[2023-07-22 13:06:30] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 7, Y= 97, Z= -48
[2023-07-22 13:06:30] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 6, Y= 97, Z= -48
[2023-07-22 13:06:30] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 7, Y= 97, Z= -49
[2023-07-22 13:06:30] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 6, Y= 97, Z= -49
[2023-07-22 13:06:30] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 6, Y= 96, Z= -48
