[2023-07-21 16:23:02] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 20, Z= -33
[2023-07-21 16:23:03] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 20, Z= -34
[2023-07-21 16:23:03] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 20, Z= -35
[2023-07-21 16:23:03] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 21, Z= -34
[2023-07-21 16:23:03] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 20, Z= -35
[2023-07-21 16:23:03] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 20, Z= -34
[2023-07-21 16:23:03] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 21, Z= -34
[2023-07-21 16:23:03] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 21, Z= -33
[2023-07-21 16:23:03] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 20, Z= -33
[2023-07-21 16:23:03] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 20, Z= -36
[2023-07-21 16:23:03] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 21, Z= -35
[2023-07-21 16:23:03] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 22, Z= -35
[2023-07-21 16:23:04] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 22, Z= -34
[2023-07-21 16:23:04] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 19, Z= -33
[2023-07-21 16:23:04] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 19, Z= -32
[2023-07-21 16:23:04] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 20, Z= -32
[2023-07-21 16:23:05] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 20, Z= -31
[2023-07-21 16:23:05] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 20, Z= -32
[2023-07-21 16:23:05] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 20, Z= -31
[2023-07-21 16:23:05] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 20, Z= -30
[2023-07-21 16:23:05] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 19, Z= -32
[2023-07-21 16:23:05] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 19, Z= -31
[2023-07-21 16:23:05] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 18, Z= -32
[2023-07-21 16:23:05] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 18, Z= -31
[2023-07-21 16:23:06] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 18, Z= -34
[2023-07-21 16:23:06] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -66, Y= 18, Z= -34
[2023-07-21 16:23:06] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 17, Z= -34
[2023-07-21 16:23:06] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -66, Y= 17, Z= -34
[2023-07-21 16:23:06] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -66, Y= 16, Z= -34
[2023-07-21 16:23:07] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 20, Z= -30
[2023-07-21 16:23:07] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 19, Z= -30
[2023-07-21 16:23:07] [world_nether] The Player <Enderlava> has broke BLACKSTONE at X= -65, Y= 20, Z= -29
[2023-07-21 16:23:07] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 19, Z= -30
[2023-07-21 16:23:24] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -63, Y= 19, Z= -35
[2023-07-21 16:23:24] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -63, Y= 18, Z= -35
[2023-07-21 16:23:25] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -62, Y= 19, Z= -35
[2023-07-21 16:23:25] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -62, Y= 18, Z= -35
[2023-07-21 16:23:26] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -62, Y= 17, Z= -35
[2023-07-21 16:23:27] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -62, Y= 16, Z= -35
[2023-07-21 16:23:27] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -62, Y= 15, Z= -35
[2023-07-21 16:23:27] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 16, Z= -35
[2023-07-21 16:23:28] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 15, Z= -35
[2023-07-21 16:23:28] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -60, Y= 15, Z= -35
[2023-07-21 16:23:28] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 15, Z= -34
[2023-07-21 16:23:28] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 16, Z= -34
[2023-07-21 16:23:29] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 14, Z= -35
[2023-07-21 16:23:29] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 15, Z= -33
[2023-07-21 16:23:29] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -60, Y= 15, Z= -33
[2023-07-21 16:23:29] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 15, Z= -32
[2023-07-21 16:23:29] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -60, Y= 15, Z= -32
[2023-07-21 16:23:29] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 15, Z= -31
[2023-07-21 16:23:29] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 14, Z= -31
[2023-07-21 16:23:29] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 14, Z= -33
[2023-07-21 16:23:29] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 14, Z= -34
[2023-07-21 16:23:29] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 14, Z= -32
[2023-07-21 16:23:29] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 13, Z= -32
[2023-07-21 16:23:29] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 13, Z= -31
[2023-07-21 16:23:30] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 16, Z= -33
[2023-07-21 16:23:30] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 16, Z= -32
[2023-07-21 16:23:30] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 16, Z= -31
[2023-07-21 16:23:30] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 16, Z= -30
[2023-07-21 16:23:30] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 15, Z= -30
[2023-07-21 16:23:30] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 15, Z= -29
[2023-07-21 16:23:30] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 15, Z= -28
[2023-07-21 16:23:31] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 16, Z= -29
[2023-07-21 16:23:31] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 16, Z= -28
[2023-07-21 16:23:32] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 16, Z= -27
[2023-07-21 16:23:32] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 16, Z= -26
[2023-07-21 16:23:32] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 16, Z= -25
[2023-07-21 16:23:32] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 15, Z= -25
[2023-07-21 16:23:32] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 15, Z= -24
[2023-07-21 16:23:32] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 16, Z= -24
[2023-07-21 16:23:32] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 15, Z= -23
[2023-07-21 16:23:33] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 15, Z= -27
[2023-07-21 16:23:33] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 15, Z= -26
[2023-07-21 16:23:33] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 14, Z= -25
[2023-07-21 16:23:33] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -61, Y= 14, Z= -24
[2023-07-21 16:23:50] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 14, Z= -22
[2023-07-21 16:23:50] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 15, Z= -22
[2023-07-21 16:23:50] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 15, Z= -21
[2023-07-21 16:23:50] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 14, Z= -21
[2023-07-21 16:23:50] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 14, Z= -20
[2023-07-21 16:23:50] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 14, Z= -19
[2023-07-21 16:23:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 15, Z= -20
[2023-07-21 16:23:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 15, Z= -20
