[2023-07-20 10:58:38] [world] The Player <wqe123420> has broke SAND at X= -988, Y= 63, Z= -973
[2023-07-20 10:58:38] [world] The Player <wqe123420> has broke SAND at X= -987, Y= 63, Z= -973
[2023-07-20 10:58:38] [world] The Player <wqe123420> has broke SAND at X= -987, Y= 62, Z= -973
[2023-07-20 10:58:39] [world] The Player <wqe123420> has broke SAND at X= -989, Y= 62, Z= -971
[2023-07-20 10:58:39] [world] The Player <wqe123420> has broke SAND at X= -988, Y= 62, Z= -971
[2023-07-20 10:58:39] [world] The Player <wqe123420> has broke SAND at X= -988, Y= 62, Z= -970
[2023-07-20 10:58:39] [world] The Player <wqe123420> has broke SAND at X= -988, Y= 63, Z= -971
[2023-07-20 10:58:39] [world] The Player <wqe123420> has broke SAND at X= -988, Y= 62, Z= -969
[2023-07-20 10:58:39] [world] The Player <wqe123420> has broke SAND at X= -987, Y= 62, Z= -970
[2023-07-20 10:58:39] [world] The Player <wqe123420> has broke SAND at X= -989, Y= 62, Z= -972
[2023-07-20 10:58:39] [world] The Player <wqe123420> has broke SAND at X= -987, Y= 61, Z= -970
[2023-07-20 10:58:39] [world] The Player <wqe123420> has broke SAND at X= -988, Y= 62, Z= -972
[2023-07-20 10:58:39] [world] The Player <wqe123420> has broke SAND at X= -987, Y= 62, Z= -972
[2023-07-20 10:58:39] [world] The Player <wqe123420> has broke SAND at X= -986, Y= 62, Z= -972
[2023-07-20 10:58:39] [world] The Player <wqe123420> has broke SAND at X= -988, Y= 62, Z= -973
[2023-07-20 10:58:39] [world] The Player <wqe123420> has broke SAND at X= -989, Y= 62, Z= -973
[2023-07-20 10:58:39] [world] The Player <wqe123420> has broke SAND at X= -988, Y= 62, Z= -974
[2023-07-20 10:58:39] [world] The Player <wqe123420> has broke SAND at X= -989, Y= 62, Z= -974
[2023-07-20 10:58:39] [world] The Player <wqe123420> has broke SAND at X= -989, Y= 63, Z= -974
[2023-07-20 10:58:39] [world] The Player <wqe123420> has broke SAND at X= -987, Y= 62, Z= -974
[2023-07-20 10:58:40] [world] The Player <wqe123420> has broke SAND at X= -986, Y= 62, Z= -973
[2023-07-20 10:58:40] [world] The Player <wqe123420> has broke SAND at X= -986, Y= 61, Z= -973
[2023-07-20 10:58:40] [world] The Player <wqe123420> has broke SAND at X= -986, Y= 62, Z= -972
[2023-07-20 10:58:40] [world] The Player <wqe123420> has broke SAND at X= -985, Y= 62, Z= -972
[2023-07-20 10:58:40] [world] The Player <wqe123420> has broke SAND at X= -985, Y= 62, Z= -971
[2023-07-20 10:58:40] [world] The Player <wqe123420> has broke GRASS_BLOCK at X= -984, Y= 62, Z= -972
[2023-07-20 10:58:40] [world] The Player <wqe123420> has broke SAND at X= -985, Y= 62, Z= -973
[2023-07-20 10:58:40] [world] The Player <wqe123420> has broke SAND at X= -985, Y= 62, Z= -974
[2023-07-20 10:58:40] [world] The Player <wqe123420> has broke SAND at X= -986, Y= 62, Z= -974
[2023-07-20 10:58:40] [world] The Player <wqe123420> has broke GRASS_BLOCK at X= -984, Y= 62, Z= -974
[2023-07-20 10:58:40] [world] The Player <wqe123420> has broke SAND at X= -984, Y= 61, Z= -974
[2023-07-20 10:58:40] [world] The Player <wqe123420> has broke GRASS_BLOCK at X= -984, Y= 62, Z= -973
[2023-07-20 10:58:40] [world] The Player <wqe123420> has broke SAND at X= -985, Y= 62, Z= -972
[2023-07-20 10:58:40] [world] The Player <wqe123420> has broke SAND at X= -984, Y= 62, Z= -971
